Troll and I
 United States, $29.99
 Mexico, $599.99
 Canada, $39.99
 Switzerland, CHF37.99
 Sweden, 349.00 kr
 South Africa, R499.95
 Denmark, 259.00 kr.
 New Zealand, $59.99
 Norway, 339.00 kr
 Australia, $59.99
