Snow Moto Racing Freedom
 Norway, 280.00 kr
 South Africa, R455.00
 Mexico, $729.99
 Canada, $49.99
 Australia, $52.50
 New Zealand, $57.75
 United States, $39.99
 Sweden, 350.00 kr
 Denmark, 262.50 kr.
 Switzerland, CHF49.00
