Nuclien
 Australia, $4.99
 Canada, $4.99
 Mexico, $76.00
 Sweden, 34.00 kr
 Denmark, 25.00 kr.
 United States, $3.99
 Switzerland, CHF3.99
 Norway, 33.00 kr
