The Long Reach
 Mexico, $259.00
 Canada, $17.99
 Norway, 120.00 kr
 United States, $14.99
 South Africa, R195.00
 Sweden, 150.00 kr
 Denmark, 112.50 kr.
 Switzerland, CHF21.00
