Mercenaries Saga Chronicles
 United States, $14.99
 Canada, $20.79
 Mexico, $327.00
 Sweden, 172.00 kr
 Denmark, 128.00 kr.
 Australia, $26.95
 New Zealand, $29.55
 Switzerland, CHF20.30
 Norway, 169.00 kr
 South Africa, R291.00
